teks_bersih,kategori,instansi,urgensi
air sungai berubah warna hitam berbau busuk diduga tercemar limbah berbahaya mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
jalan utama amblas total tidak bisa dilalui kendaraan harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
puskesmas pembantu di desa kami tutup tidak ada tenaga kesehatan mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
tiang listrik hampir roboh di pinggir jalan rawan menimpa warga,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
lingkungan RT kami kotor karena tidak ada fasilitas tempat sampah tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
klinik kesehatan di desa tidak memiliki dokter tetap sudah lama mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
ada pengedar narkoba beroperasi terang terangan di dekat sekolah sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
lampu traffic light di perempatan tidak berfungsi rawan kecelakaan tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,urgen
rel kereta api di pinggir jalan tidak ada pagar pengaman berbahaya mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
surat keterangan tidak mampu sulit didapatkan untuk keperluan RS kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
SKTM untuk keperluan sekolah tidak bisa didapatkan dipersulit harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
penerangan jalan sangat minim sehingga rawan kriminalitas malam hari sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
posyandu di desa kami tidak aktif sudah tiga bulan sudah lama tidak ada tindakan,kesehatan,Dinas Kesehatan,biasa
perizinan usaha kecil saya dipersulit padahal sudah lengkap syaratnya kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
penggunaan narkoba di kalangan remaja di lingkungan kami sangat meresahkan kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
keributan di tempat hiburan malam mengganggu warga sekitar setiap malam,keamanan,Satuan Polisi Pamong Praja,urgen
got di depan gang tersumbat air meluap ke jalan saat hujan tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
surat keterangan tidak mampu sulit didapatkan untuk keperluan RS kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
pasien rujukan dari puskesmas ditolak rumah sakit tanpa alasan jelas tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
dokter di puskesmas sering tidak hadir padahal sudah ada jadwal mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
pak wali kota ganteng sekali orangnya baik harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
selamat pagi pak bupati semoga sehat selalu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
drainase di depan pasar tidak berfungsi menyebabkan genangan air kami sangat terganggu,infrastruktur,Dinas Pekerjaan Umum,urgen
halo pemda ini hanya mau bilang lingkungan kami sudah bersih terima kasih harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
ada oknum yang menarik pungutan liar di terminal angkutan umum kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
surat keterangan tidak mampu sulit didapatkan untuk keperluan RS kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
jalan di depan rumah saya berlubang kecil sudah sebulan harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,biasa
sertifikat tanah saya tidak kunjung selesai sudah setahun menunggu,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
jalan masuk kampung kami belum diaspal masih tanah berlumpur mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,urgen
pasien kritis ditolak IGD rumah sakit daerah karena penuh kami sangat terganggu,kesehatan,Dinas Kesehatan,sangat_urgen
ada wabah demam berdarah menyebar di RT kami sudah tiga orang masuk RS,kesehatan,Dinas Kesehatan,sangat_urgen
sering ada pembegalan di jalan gelap menuju desa tidak ada patroli,keamanan,Satuan Polisi Pamong Praja,urgen
program imunisasi di kelurahan kami tidak berjalan sudah berbulan bulan tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
selamat pagi pak bupati semoga sehat selalu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
selamat pagi pak bupati semoga sehat selalu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
parkir liar di depan toko menghalangi akses pejalan kaki mohon segera ditangani,keamanan,Satuan Polisi Pamong Praja,biasa
ada wabah demam berdarah menyebar di RT kami sudah tiga orang masuk RS,kesehatan,Dinas Kesehatan,sangat_urgen
pak wali kota ganteng sekali orangnya baik harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
pelayanan di kantor kecamatan sangat lama bisa menunggu sampai sore sudah lama tidak ada tindakan,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
perampasan handphone di jalan siang hari bolong pelaku kabur sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
tumpukan sampah di lahan kosong dibiarkan berbulan bulan sarang nyamuk harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,urgen
kartu BPJS tidak aktif padahal iuran selalu dibayar tepat waktu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
pengajuan beasiswa tidak diproses meskipun sudah memenuhi semua syarat,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
warga miskin kesulitan mendapatkan layanan kesehatan gratis mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
ada kasus gizi buruk parah pada balita di desa kami butuh bantuan segera harap segera diselesaikan,kesehatan,Dinas Kesehatan,sangat_urgen
saluran irigasi di sawah kami rusak mengancam gagal panen sudah lama tidak ada tindakan,infrastruktur,Dinas Pekerjaan Umum,urgen
drainase di depan pasar tidak berfungsi menyebabkan genangan air kami sangat terganggu,infrastruktur,Dinas Pekerjaan Umum,urgen
perampasan handphone di jalan siang hari bolong pelaku kabur sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
perawat di puskesmas tidak ramah kepada pasien lanjut usia,kesehatan,Dinas Kesehatan,biasa
pasien rujukan dari puskesmas ditolak rumah sakit tanpa alasan jelas tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
perampasan handphone di jalan siang hari bolong pelaku kabur sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
limbah pabrik dibuang ke sungai mencemari sumber air minum warga kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
puskesmas pembantu di desa kami tutup tidak ada tenaga kesehatan mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
bank sampah di kelurahan kami tidak berjalan dengan baik kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,biasa
ada premanisme di pasar yang meresahkan pedagang dan pembeli sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
kartu BPJS tidak aktif padahal iuran selalu dibayar tepat waktu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
warga membuang sampah ke sungai kecil dekat permukiman mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,biasa
konflik antar warga di RT kami belum diselesaikan oleh aparat sudah lama kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
sungai tercemar limbah kimia banyak ikan mati warga tidak bisa mandi,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
petugas kelurahan tidak ada di tempat saat jam kerja,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
posyandu di desa kami tidak aktif sudah tiga bulan sudah lama tidak ada tindakan,kesehatan,Dinas Kesehatan,biasa
sungai tercemar limbah kimia banyak ikan mati warga tidak bisa mandi,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
pembunuhan terjadi di kampung kami pelaku masih bebas warga ketakutan sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
banyak warga mengalami sesak napas akibat polusi pabrik terdekat mohon segera ditangani,kesehatan,Dinas Kesehatan,sangat_urgen
rambu lalu lintas di persimpangan sudah pudar tidak terbaca,infrastruktur,Dinas Pekerjaan Umum,biasa
ada pengedar narkoba beroperasi terang terangan di dekat sekolah sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
warga membuang sampah ke sungai kecil dekat permukiman mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,biasa
jembatan gantung di desa kami roboh tidak bisa dilewati sama sekali mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
KTP saya sudah empat bulan belum jadi padahal sudah lengkap syaratnya tolong ditindaklanjuti,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
ada kasus keracunan massal di kantin sekolah banyak anak dilarikan ke RS mohon segera ditangani,kesehatan,Dinas Kesehatan,sangat_urgen
sampah medis dibuang sembarangan di dekat pemukiman berbahaya harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
warga miskin kesulitan mendapatkan layanan kesehatan gratis mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
ada kasus gizi buruk parah pada balita di desa kami butuh bantuan segera harap segera diselesaikan,kesehatan,Dinas Kesehatan,sangat_urgen
data kependudukan kami masih salah setelah berkali kali melapor harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
ada oknum yang menarik pungutan liar di terminal angkutan umum kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
ada pedagang kaki lima yang berjualan di badan jalan membahayakan kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,biasa
ambulans desa rusak tidak bisa digunakan membawa pasien gawat darurat tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,sangat_urgen
drainase di depan pasar tidak berfungsi menyebabkan genangan air kami sangat terganggu,infrastruktur,Dinas Pekerjaan Umum,urgen
di RT kami sering terjadi pencurian kendaraan bermotor malam hari,keamanan,Satuan Polisi Pamong Praja,urgen
lampu jalan di kawasan perumahan mati sudah dua minggu,infrastruktur,Dinas Pekerjaan Umum,urgen
penerangan jalan sangat minim sehingga rawan kriminalitas malam hari sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
sampah medis dibuang sembarangan di dekat pemukiman berbahaya harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
rel kereta api di pinggir jalan tidak ada pagar pengaman berbahaya mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
selamat pagi pak bupati semoga sehat selalu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
perizinan usaha kecil saya dipersulit padahal sudah lengkap syaratnya kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
konflik antar warga di RT kami belum diselesaikan oleh aparat sudah lama kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
kartu BPJS tidak aktif padahal iuran selalu dibayar tepat waktu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
ada anak di bawah umur yang terlibat tawuran membawa senjata tajam kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
penertiban PKL di trotoar tidak konsisten dibiarkan kembali berjualan,keamanan,Satuan Polisi Pamong Praja,biasa
jalan alternatif menuju desa kami tidak bisa dilalui saat hujan deras tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,urgen
ada kasus keracunan massal di kantin sekolah banyak anak dilarikan ke RS mohon segera ditangani,kesehatan,Dinas Kesehatan,sangat_urgen
sering ada pembegalan di jalan gelap menuju desa tidak ada patroli,keamanan,Satuan Polisi Pamong Praja,urgen
wabah kolera menyebar di desa kami sudah ada korban meninggal sudah lama tidak ada tindakan,kesehatan,Dinas Kesehatan,sangat_urgen
wabah kolera menyebar di desa kami sudah ada korban meninggal sudah lama tidak ada tindakan,kesehatan,Dinas Kesehatan,sangat_urgen
ada penculikan anak di sekitar sekolah warga panik tolong ditindaklanjuti,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
tempat sampah di taman kota sudah rusak dan tidak diganti tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
halo pemda ini hanya mau bilang lingkungan kami sudah bersih terima kasih harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
konflik antar warga di RT kami belum diselesaikan oleh aparat sudah lama kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
pelayanan BPJS di rumah sakit dipersulit padahal kartu aktif harap segera diselesaikan,kesehatan,Dinas Kesehatan,biasa
sungai tercemar limbah kimia banyak ikan mati warga tidak bisa mandi,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
obat di puskesmas sering habis pasien harus beli sendiri kami sangat terganggu,kesehatan,Dinas Kesehatan,urgen
penertiban PKL di trotoar tidak konsisten dibiarkan kembali berjualan,keamanan,Satuan Polisi Pamong Praja,biasa
jalan utama amblas total tidak bisa dilalui kendaraan harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
truk sampah tidak pernah datang ke RT kami sudah dua minggu kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,urgen
parkir liar di depan toko menghalangi akses pejalan kaki mohon segera ditangani,keamanan,Satuan Polisi Pamong Praja,biasa
trotoar di jalan utama rusak ada beberapa bagian yang copot mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,biasa
ada kasus keracunan massal di kantin sekolah banyak anak dilarikan ke RS mohon segera ditangani,kesehatan,Dinas Kesehatan,sangat_urgen
jembatan penghubung desa kami retak parah hampir putus kami sangat terganggu,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
ada anak di bawah umur yang terlibat tawuran membawa senjata tajam kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
ibu hamil di desa kami kesulitan akses ke bidan jarak sangat jauh mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
pembunuhan terjadi di kampung kami pelaku masih bebas warga ketakutan sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
keributan di tempat hiburan malam mengganggu warga sekitar setiap malam,keamanan,Satuan Polisi Pamong Praja,urgen
ada pedagang kaki lima yang berjualan di badan jalan membahayakan kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,biasa
limbah pabrik dibuang ke sungai mencemari sumber air minum warga kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
trotoar di jalan utama rusak ada beberapa bagian yang copot mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,biasa
tempat sampah di taman kota sudah rusak dan tidak diganti tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
lampu traffic light di perempatan tidak berfungsi rawan kecelakaan tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,urgen
saluran irigasi di sawah kami rusak mengancam gagal panen sudah lama tidak ada tindakan,infrastruktur,Dinas Pekerjaan Umum,urgen
selokan di depan rumah dipenuhi sampah plastik menyebabkan banjir sudah lama tidak ada tindakan,kebersihan,Dinas Lingkungan Hidup,urgen
sampah menumpuk di depan pasar sudah seminggu tidak diangkut,kebersihan,Dinas Lingkungan Hidup,biasa
ada pengedar narkoba beroperasi terang terangan di dekat sekolah sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
posyandu di desa kami tidak aktif sudah tiga bulan sudah lama tidak ada tindakan,kesehatan,Dinas Kesehatan,biasa
pembuatan akta nikah dipersulit dan dimintai biaya tambahan tidak resmi mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
maling motor masuk ke perumahan kami sudah beberapa kali kejadian,keamanan,Satuan Polisi Pamong Praja,urgen
perawat di puskesmas tidak ramah kepada pasien lanjut usia,kesehatan,Dinas Kesehatan,biasa
ada bangunan yang melanggar IMB dibiarkan terus dibangun harap segera diselesaikan,keamanan,Satuan Polisi Pamong Praja,biasa
konflik antar warga di RT kami belum diselesaikan oleh aparat sudah lama kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
antrian di puskesmas sangat panjang tidak ada yang mengatur mohon segera ditangani,kesehatan,Dinas Kesehatan,biasa
gorong gorong di bawah jalan rusak menyebabkan jalan amblas,infrastruktur,Dinas Pekerjaan Umum,urgen
ijazah anak saya ditahan sekolah karena masalah administrasi pembayaran tolong ditindaklanjuti,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
jalan utama amblas total tidak bisa dilalui kendaraan harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
warga membakar sampah sembarangan asap mengganggu pernapasan anak anak harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,urgen
ada penculikan anak di sekitar sekolah warga panik tolong ditindaklanjuti,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
penerangan jalan sangat minim sehingga rawan kriminalitas malam hari sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
truk sampah tidak pernah datang ke RT kami sudah dua minggu kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,urgen
petugas kebersihan sudah lama tidak bertugas di wilayah kami tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
rambu lalu lintas di persimpangan sudah pudar tidak terbaca,infrastruktur,Dinas Pekerjaan Umum,biasa
petugas kelurahan tidak ada di tempat saat jam kerja,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
warga membuang sampah ke sungai kecil dekat permukiman mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,biasa
penertiban PKL di trotoar tidak konsisten dibiarkan kembali berjualan,keamanan,Satuan Polisi Pamong Praja,biasa
warga miskin kesulitan mendapatkan layanan kesehatan gratis mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
warga membakar sampah sembarangan asap mengganggu pernapasan anak anak harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,urgen
halte bus di jalan raya sudah rusak atapnya bocor,infrastruktur,Dinas Pekerjaan Umum,biasa
sampah menumpuk di depan pasar sudah seminggu tidak diangkut,kebersihan,Dinas Lingkungan Hidup,biasa
ambulans desa rusak tidak bisa digunakan membawa pasien gawat darurat tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,sangat_urgen
ada warga yang buang sampah sembarangan di pinggir jalan mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,biasa
trotoar di jalan utama rusak ada beberapa bagian yang copot mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,biasa
penertiban PKL di trotoar tidak konsisten dibiarkan kembali berjualan,keamanan,Satuan Polisi Pamong Praja,biasa
pencemaran air sumur warga akibat limbah industri banyak yang keracunan mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
ada begal membunuh warga tadi malam di jalan gelap menuju desa kami sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
rambu lalu lintas di persimpangan sudah pudar tidak terbaca,infrastruktur,Dinas Pekerjaan Umum,biasa
jalan utama amblas total tidak bisa dilalui kendaraan harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
program bantuan sosial tidak tepat sasaran banyak warga mampu yang dapat,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
limbah pabrik dibuang ke sungai mencemari sumber air minum warga kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
petugas kebersihan sudah lama tidak bertugas di wilayah kami tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
program imunisasi di kelurahan kami tidak berjalan sudah berbulan bulan tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
posyandu di desa kami tidak aktif sudah tiga bulan sudah lama tidak ada tindakan,kesehatan,Dinas Kesehatan,biasa
KTP saya sudah empat bulan belum jadi padahal sudah lengkap syaratnya tolong ditindaklanjuti,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
pak wali kota ganteng sekali orangnya baik harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
parkir liar di depan toko menghalangi akses pejalan kaki mohon segera ditangani,keamanan,Satuan Polisi Pamong Praja,biasa
ada begal membunuh warga tadi malam di jalan gelap menuju desa kami sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
obat di puskesmas sering habis pasien harus beli sendiri kami sangat terganggu,kesehatan,Dinas Kesehatan,urgen
pembunuhan terjadi di kampung kami pelaku masih bebas warga ketakutan sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
parkir liar di depan toko menghalangi akses pejalan kaki mohon segera ditangani,keamanan,Satuan Polisi Pamong Praja,biasa
banyak warga mengalami sesak napas akibat polusi pabrik terdekat mohon segera ditangani,kesehatan,Dinas Kesehatan,sangat_urgen
gorong gorong di bawah jalan rusak menyebabkan jalan amblas,infrastruktur,Dinas Pekerjaan Umum,urgen
got besar di pinggir jalan dipenuhi sampah dan lumpur menimbulkan bau harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,biasa
