teks_bersih,kategori,instansi,urgensi
tumpukan sampah di lahan kosong dibiarkan berbulan bulan sarang nyamuk harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,urgen
program bantuan sosial tidak tepat sasaran banyak warga mampu yang dapat,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
obat di puskesmas sering habis pasien harus beli sendiri kami sangat terganggu,kesehatan,Dinas Kesehatan,urgen
ada anak di bawah umur yang terlibat tawuran membawa senjata tajam kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
obat di puskesmas sering habis pasien harus beli sendiri kami sangat terganggu,kesehatan,Dinas Kesehatan,urgen
tps di dekat perumahan kami meluber sampah berserakan ke jalan kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,biasa
keributan di tempat hiburan malam mengganggu warga sekitar setiap malam,keamanan,Satuan Polisi Pamong Praja,urgen
ibu hamil di desa kami kesulitan akses ke bidan jarak sangat jauh mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
antrian di puskesmas sangat panjang tidak ada yang mengatur mohon segera ditangani,kesehatan,Dinas Kesehatan,biasa
ada pedagang kaki lima yang berjualan di badan jalan membahayakan kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,biasa
pengajuan beasiswa tidak diproses meskipun sudah memenuhi semua syarat,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
pengajuan beasiswa tidak diproses meskipun sudah memenuhi semua syarat,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
dokter di puskesmas sering tidak hadir padahal sudah ada jadwal mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
ada anak di bawah umur yang terlibat tawuran membawa senjata tajam kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
tps di dekat perumahan kami meluber sampah berserakan ke jalan kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,biasa
jembatan gantung di desa kami roboh tidak bisa dilewati sama sekali mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
ada premanisme di pasar yang meresahkan pedagang dan pembeli sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
pasien rujukan dari puskesmas ditolak rumah sakit tanpa alasan jelas tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
gorong gorong di bawah jalan rusak menyebabkan jalan amblas,infrastruktur,Dinas Pekerjaan Umum,urgen
got di depan gang tersumbat air meluap ke jalan saat hujan tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
fasilitas kamar rawat inap di rumah sakit daerah tidak cukup selalu penuh mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
pasien kritis ditolak IGD rumah sakit daerah karena penuh kami sangat terganggu,kesehatan,Dinas Kesehatan,sangat_urgen
jalan di depan rumah saya berlubang kecil sudah sebulan harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,biasa
air sungai berubah warna hitam berbau busuk diduga tercemar limbah berbahaya mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
selokan di depan rumah dipenuhi sampah plastik menyebabkan banjir sudah lama tidak ada tindakan,kebersihan,Dinas Lingkungan Hidup,urgen
jalan cor beton di perumahan kami retak dan berlubang tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
pejabat desa tidak transparan dalam pengelolaan dana desa mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
ada anak di bawah umur yang terlibat tawuran membawa senjata tajam kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
sering ada pembegalan di jalan gelap menuju desa tidak ada patroli,keamanan,Satuan Polisi Pamong Praja,urgen
halte bus di jalan raya sudah rusak atapnya bocor,infrastruktur,Dinas Pekerjaan Umum,biasa
kartu keluarga masih salah data sudah lapor berkali kali tapi belum diperbaiki kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
wabah kolera menyebar di desa kami sudah ada korban meninggal sudah lama tidak ada tindakan,kesehatan,Dinas Kesehatan,sangat_urgen
warga membakar sampah sembarangan asap mengganggu pernapasan anak anak harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,urgen
selamat pagi pak bupati semoga sehat selalu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
pencemaran air sumur warga akibat limbah industri banyak yang keracunan mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
jalan di depan rumah saya berlubang kecil sudah sebulan harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,biasa
ada kasus keracunan massal di kantin sekolah banyak anak dilarikan ke RS mohon segera ditangani,kesehatan,Dinas Kesehatan,sangat_urgen
pencemaran air sumur warga akibat limbah industri banyak yang keracunan mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
ada warga yang buang sampah sembarangan di pinggir jalan mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,biasa
bau busuk dari tempat pembuangan sampah ilegal di kebun kosong tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,urgen
KTP saya sudah empat bulan belum jadi padahal sudah lengkap syaratnya tolong ditindaklanjuti,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
tawuran antar kelompok menggunakan senjata tajam ada korban luka parah kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
akta kelahiran anak saya belum bisa dibuat karena persyaratan berbelit,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
limbah pabrik dibuang ke sungai mencemari sumber air minum warga kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
sampah medis dibuang sembarangan di dekat pemukiman berbahaya harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
akta kelahiran anak saya belum bisa dibuat karena persyaratan berbelit,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
got besar di pinggir jalan dipenuhi sampah dan lumpur menimbulkan bau harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,biasa
tumpukan sampah di lahan kosong dibiarkan berbulan bulan sarang nyamuk harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,urgen
pembuatan akta nikah dipersulit dan dimintai biaya tambahan tidak resmi mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
tiang listrik hampir roboh di pinggir jalan rawan menimpa warga,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
air sungai berubah warna hitam berbau busuk diduga tercemar limbah berbahaya mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
pelayanan di kantor kecamatan sangat lama bisa menunggu sampai sore sudah lama tidak ada tindakan,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
petugas kelurahan tidak ada di tempat saat jam kerja,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
jalan di depan rumah saya berlubang kecil sudah sebulan harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,biasa
rel kereta api di pinggir jalan tidak ada pagar pengaman berbahaya mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
fasilitas kamar rawat inap di rumah sakit daerah tidak cukup selalu penuh mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
antrian di puskesmas sangat panjang tidak ada yang mengatur mohon segera ditangani,kesehatan,Dinas Kesehatan,biasa
ijazah anak saya ditahan sekolah karena masalah administrasi pembayaran tolong ditindaklanjuti,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
halo pemda ini hanya mau bilang lingkungan kami sudah bersih terima kasih harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
lampu jalan di kawasan perumahan mati sudah dua minggu,infrastruktur,Dinas Pekerjaan Umum,urgen
jalan alternatif menuju desa kami tidak bisa dilalui saat hujan deras tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,urgen
ijazah anak saya ditahan sekolah karena masalah administrasi pembayaran tolong ditindaklanjuti,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
bank sampah di kelurahan kami tidak berjalan dengan baik kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,biasa
bau busuk dari tempat pembuangan sampah ilegal di kebun kosong tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,urgen
lingkungan RT kami kotor karena tidak ada fasilitas tempat sampah tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,biasa
warga membuang sampah ke sungai kecil dekat permukiman mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,biasa
jalan utama amblas total tidak bisa dilalui kendaraan harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
gorong gorong di bawah jalan rusak menyebabkan jalan amblas,infrastruktur,Dinas Pekerjaan Umum,urgen
keributan di tempat hiburan malam mengganggu warga sekitar setiap malam,keamanan,Satuan Polisi Pamong Praja,urgen
klinik kesehatan di desa tidak memiliki dokter tetap sudah lama mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
ibu hamil di desa kami kesulitan akses ke bidan jarak sangat jauh mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
tawuran antar kelompok menggunakan senjata tajam ada korban luka parah kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
pembunuhan terjadi di kampung kami pelaku masih bebas warga ketakutan sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
lampu jalan di kawasan perumahan mati sudah dua minggu,infrastruktur,Dinas Pekerjaan Umum,urgen
ada kasus gizi buruk parah pada balita di desa kami butuh bantuan segera harap segera diselesaikan,kesehatan,Dinas Kesehatan,sangat_urgen
perizinan usaha kecil saya dipersulit padahal sudah lengkap syaratnya kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
aspal jalan kabupaten mengelupas di beberapa titik tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
kartu keluarga masih salah data sudah lapor berkali kali tapi belum diperbaiki kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
pelayanan BPJS di rumah sakit dipersulit padahal kartu aktif harap segera diselesaikan,kesehatan,Dinas Kesehatan,biasa
pohon tumbang di jalan raya menghalangi lalu lintas harap segera diselesaikan,infrastruktur,Dinas Pekerjaan Umum,urgen
aspal jalan kabupaten mengelupas di beberapa titik tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
penggunaan narkoba di kalangan remaja di lingkungan kami sangat meresahkan kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
jalan masuk kampung kami belum diaspal masih tanah berlumpur mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,urgen
banyak warga mengalami sesak napas akibat polusi pabrik terdekat mohon segera ditangani,kesehatan,Dinas Kesehatan,sangat_urgen
jembatan penghubung desa kami retak parah hampir putus kami sangat terganggu,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
puskesmas pembantu di desa kami tutup tidak ada tenaga kesehatan mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
ada pengedar narkoba beroperasi terang terangan di dekat sekolah sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
aspal jalan kabupaten mengelupas di beberapa titik tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
dokter di puskesmas sering tidak hadir padahal sudah ada jadwal mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
ada premanisme di pasar yang meresahkan pedagang dan pembeli sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
ambulans desa rusak tidak bisa digunakan membawa pasien gawat darurat tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,sangat_urgen
saluran irigasi di sawah kami rusak mengancam gagal panen sudah lama tidak ada tindakan,infrastruktur,Dinas Pekerjaan Umum,urgen
di RT kami sering terjadi pencurian kendaraan bermotor malam hari,keamanan,Satuan Polisi Pamong Praja,urgen
jembatan penghubung desa kami retak parah hampir putus kami sangat terganggu,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
bank sampah di kelurahan kami tidak berjalan dengan baik kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,biasa
pelayanan di kantor kecamatan sangat lama bisa menunggu sampai sore sudah lama tidak ada tindakan,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
pencemaran air sumur warga akibat limbah industri banyak yang keracunan mohon segera ditangani,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
terima kasih pemerintah sudah memperbaiki jalan di depan rumah kami harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
maling motor masuk ke perumahan kami sudah beberapa kali kejadian,keamanan,Satuan Polisi Pamong Praja,urgen
sungai tercemar limbah kimia banyak ikan mati warga tidak bisa mandi,kebersihan,Dinas Lingkungan Hidup,sangat_urgen
SKTM untuk keperluan sekolah tidak bisa didapatkan dipersulit harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
program imunisasi di kelurahan kami tidak berjalan sudah berbulan bulan tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
ada wabah demam berdarah menyebar di RT kami sudah tiga orang masuk RS,kesehatan,Dinas Kesehatan,sangat_urgen
petugas kelurahan tidak ada di tempat saat jam kerja,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
dokter di puskesmas sering tidak hadir padahal sudah ada jadwal mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
jalan cor beton di perumahan kami retak dan berlubang tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
halte bus di jalan raya sudah rusak atapnya bocor,infrastruktur,Dinas Pekerjaan Umum,biasa
tawuran antar kelompok menggunakan senjata tajam ada korban luka parah kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
ada penculikan anak di sekitar sekolah warga panik tolong ditindaklanjuti,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
SKTM untuk keperluan sekolah tidak bisa didapatkan dipersulit harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
terima kasih pemerintah sudah memperbaiki jalan di depan rumah kami harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
tumpukan sampah di lahan kosong dibiarkan berbulan bulan sarang nyamuk harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,urgen
sering ada pembegalan di jalan gelap menuju desa tidak ada patroli,keamanan,Satuan Polisi Pamong Praja,urgen
bank sampah di kelurahan kami tidak berjalan dengan baik kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,biasa
jembatan gantung di desa kami roboh tidak bisa dilewati sama sekali mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
di RT kami sering terjadi pencurian kendaraan bermotor malam hari,keamanan,Satuan Polisi Pamong Praja,urgen
saluran irigasi di sawah kami rusak mengancam gagal panen sudah lama tidak ada tindakan,infrastruktur,Dinas Pekerjaan Umum,urgen
pelayanan BPJS di rumah sakit dipersulit padahal kartu aktif harap segera diselesaikan,kesehatan,Dinas Kesehatan,biasa
pasien rujukan dari puskesmas ditolak rumah sakit tanpa alasan jelas tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
pelayanan di kantor kecamatan sangat lama bisa menunggu sampai sore sudah lama tidak ada tindakan,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
ada kasus gizi buruk parah pada balita di desa kami butuh bantuan segera harap segera diselesaikan,kesehatan,Dinas Kesehatan,sangat_urgen
fasilitas kamar rawat inap di rumah sakit daerah tidak cukup selalu penuh mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
kartu BPJS tidak aktif padahal iuran selalu dibayar tepat waktu mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
ada wabah demam berdarah menyebar di RT kami sudah tiga orang masuk RS,kesehatan,Dinas Kesehatan,sangat_urgen
ada pengedar narkoba beroperasi terang terangan di dekat sekolah sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
konflik antar warga di RT kami belum diselesaikan oleh aparat sudah lama kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
ada penculikan anak di sekitar sekolah warga panik tolong ditindaklanjuti,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
perizinan usaha kecil saya dipersulit padahal sudah lengkap syaratnya kami sangat terganggu,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
warga miskin kesulitan mendapatkan layanan kesehatan gratis mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
pasien kritis ditolak IGD rumah sakit daerah karena penuh kami sangat terganggu,kesehatan,Dinas Kesehatan,sangat_urgen
posyandu di desa kami tidak aktif sudah tiga bulan sudah lama tidak ada tindakan,kesehatan,Dinas Kesehatan,biasa
got besar di pinggir jalan dipenuhi sampah dan lumpur menimbulkan bau harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,biasa
program imunisasi di kelurahan kami tidak berjalan sudah berbulan bulan tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,urgen
tps di dekat perumahan kami meluber sampah berserakan ke jalan kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,biasa
jalan cor beton di perumahan kami retak dan berlubang tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
banyak warga mengalami sesak napas akibat polusi pabrik terdekat mohon segera ditangani,kesehatan,Dinas Kesehatan,sangat_urgen
KTP saya sudah empat bulan belum jadi padahal sudah lengkap syaratnya tolong ditindaklanjuti,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
pembuatan akta nikah dipersulit dan dimintai biaya tambahan tidak resmi mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
pelayanan BPJS di rumah sakit dipersulit padahal kartu aktif harap segera diselesaikan,kesehatan,Dinas Kesehatan,biasa
maling motor masuk ke perumahan kami sudah beberapa kali kejadian,keamanan,Satuan Polisi Pamong Praja,urgen
ada begal membunuh warga tadi malam di jalan gelap menuju desa kami sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
ada oknum yang menarik pungutan liar di terminal angkutan umum kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,urgen
jalan cor beton di perumahan kami retak dan berlubang tolong ditindaklanjuti,infrastruktur,Dinas Pekerjaan Umum,biasa
pelayanan BPJS di rumah sakit dipersulit padahal kartu aktif harap segera diselesaikan,kesehatan,Dinas Kesehatan,biasa
klinik kesehatan di desa tidak memiliki dokter tetap sudah lama mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
tiang listrik hampir roboh di pinggir jalan rawan menimpa warga,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
ambulans desa rusak tidak bisa digunakan membawa pasien gawat darurat tolong ditindaklanjuti,kesehatan,Dinas Kesehatan,sangat_urgen
bau busuk dari tempat pembuangan sampah ilegal di kebun kosong tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,urgen
ibu hamil di desa kami kesulitan akses ke bidan jarak sangat jauh mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
banyak warga mengalami sesak napas akibat polusi pabrik terdekat mohon segera ditangani,kesehatan,Dinas Kesehatan,sangat_urgen
perampasan handphone di jalan siang hari bolong pelaku kabur sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
sertifikat tanah saya tidak kunjung selesai sudah setahun menunggu,administrasi,Dinas Kependudukan dan Catatan Sipil,biasa
ada penculikan anak di sekitar sekolah warga panik tolong ditindaklanjuti,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
warga miskin kesulitan mendapatkan layanan kesehatan gratis mohon segera ditangani,kesehatan,Dinas Kesehatan,urgen
bau busuk dari tempat pembuangan sampah ilegal di kebun kosong tolong ditindaklanjuti,kebersihan,Dinas Lingkungan Hidup,urgen
rel kereta api di pinggir jalan tidak ada pagar pengaman berbahaya mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
terima kasih pemerintah sudah memperbaiki jalan di depan rumah kami harap segera diselesaikan,administrasi,Dinas Kependudukan dan Catatan Sipil,tidak_urgen
tps di dekat perumahan kami meluber sampah berserakan ke jalan kami sangat terganggu,kebersihan,Dinas Lingkungan Hidup,biasa
perampasan handphone di jalan siang hari bolong pelaku kabur sudah lama tidak ada tindakan,keamanan,Satuan Polisi Pamong Praja,urgen
sampah menumpuk di depan pasar sudah seminggu tidak diangkut,kebersihan,Dinas Lingkungan Hidup,biasa
tawuran antar kelompok menggunakan senjata tajam ada korban luka parah kami sangat terganggu,keamanan,Satuan Polisi Pamong Praja,sangat_urgen
pejabat desa tidak transparan dalam pengelolaan dana desa mohon segera ditangani,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
jembatan gantung di desa kami roboh tidak bisa dilewati sama sekali mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,sangat_urgen
program bantuan sosial tidak tepat sasaran banyak warga mampu yang dapat,administrasi,Dinas Kependudukan dan Catatan Sipil,urgen
pasien kritis ditolak IGD rumah sakit daerah karena penuh kami sangat terganggu,kesehatan,Dinas Kesehatan,sangat_urgen
got besar di pinggir jalan dipenuhi sampah dan lumpur menimbulkan bau harap segera diselesaikan,kebersihan,Dinas Lingkungan Hidup,biasa
trotoar di jalan utama rusak ada beberapa bagian yang copot mohon segera ditangani,infrastruktur,Dinas Pekerjaan Umum,biasa
