teks_bersih,kategori,urgensi,instansi
pasien kritis ditolak igd rs daerah katanya penuh padahal darurat harap segera ada tindakan,kesehatan,sangat_urgen,Dinas Kesehatan
pengaduan: ada pungutan liar di terminal oleh oknum preman minta tolong banget,keamanan,urgen,Satuan Polisi Pamong Praja
papan nama jalan udah pudar susah dibaca tolong cepet ditangani,infrastruktur,biasa,Dinas Pekerjaan Umum
mohon papan nama jalan udah pudar susah dibaca segera ya pak,infrastruktur,biasa,Dinas Pekerjaan Umum
halo pemda fasilitas toilet di puskesmas kurang bersih segera ya pak,kesehatan,biasa,Dinas Kesehatan
pasien kritis ditolak igd rs daerah katanya penuh padahal darurat,kesehatan,sangat_urgen,Dinas Kesehatan
pengaduan: jembatan gantung mau putus nih kabelnya udah pada karatan,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pengaduan: limbah pabrik dibuang ke kali sumber air minum warga udah pada mual tolong cepet ditangani,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
laporan: papan pengumuman di kantor kelurahan jarang diupdate kami sangat terganggu,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
pak wabah diare menyebar di desa kami udah 20 orang kena termasuk balita kami sangat terganggu,kesehatan,sangat_urgen,Dinas Kesehatan
konflik warga udah berlangsung lama blm ada penyelesaian dari aparat udah lama nih,keamanan,urgen,Satuan Polisi Pamong Praja
tiang listrik mau roboh nih nempel ke pohon rawan banget kena angin kapan diselesaikan,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
sampah plastik banyak berserakan di pinggir kali,kebersihan,biasa,Dinas Lingkungan Hidup
ibu hamil mau melahirkan ga ada bidan desanya ga hadir udah lama nih,kesehatan,sangat_urgen,Dinas Kesehatan
got meluap banjir masuk rumah warga udah setinggi lutut,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
laporan: bahu jalan agak rusak butuh perbaikan udah lama nih,infrastruktur,biasa,Dinas Pekerjaan Umum
jembatan retak parah goyang kalo dilewati truk kami sangat terganggu,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
mau lapor nih loket pendaftaran puskesmas prosesnya lama banget udah lama nih,kesehatan,biasa,Dinas Kesehatan
selokan penuh sampah plastik air meluap ke jalan,kebersihan,urgen,Dinas Lingkungan Hidup
tempat sampah di halte bus udah penuh perlu dikosongkan segera ya pak,kebersihan,biasa,Dinas Lingkungan Hidup
pengaduan: pkl di trotoar bikin macet dan ganggu lalu lintas,keamanan,biasa,Satuan Polisi Pamong Praja
pak petugas kebersihan jarang masuk ke gang kami,kebersihan,biasa,Dinas Lingkungan Hidup
paving block di trotoar ada beberapa yang copot mohon ditindak,infrastruktur,biasa,Dinas Pekerjaan Umum
bu trotoar di jalan ahmad yani retak retak kapan diselesaikan,infrastruktur,biasa,Dinas Pekerjaan Umum
halo pemda bansos ga tepat sasaran tetangga saya mampu dapat saya yang susah malah ga dapat segera ya pak,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: ambulans desa rusak ga bisa dipake warga ada yang sakit parah segera ya pak,kesehatan,sangat_urgen,Dinas Kesehatan
bank sampah di kelurahan kami ga jalan tolong cepet ditangani,kebersihan,biasa,Dinas Lingkungan Hidup
aspal di depan rumah saya mengelupas mohon ditindak,infrastruktur,biasa,Dinas Pekerjaan Umum
antrian puskesmas ga teratur pasien lansia berdiri berjam jam,kesehatan,urgen,Dinas Kesehatan
limbah pabrik dibuang ke kali sumber air minum warga udah pada mual mohon ditindak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mau lapor nih pasien rujukan ditolak rs tanpa alasan yang jelas,kesehatan,urgen,Dinas Kesehatan
tolong jalan berlubang gede di depan sekolah udah ada yang jatuh udah lama nih,infrastruktur,urgen,Dinas Pekerjaan Umum
mau lapor nih loket pelayanan ktp cuma buka sampai jam 11 terlalu singkat mohon ditindak,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
got besar penuh sampah plastik banjir kalo ujan kapan diselesaikan,kebersihan,urgen,Dinas Lingkungan Hidup
taman kota kotor banyak sampah dedaunan,kebersihan,biasa,Dinas Lingkungan Hidup
jembatan gantung mau putus nih kabelnya udah pada karatan segera ya pak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ada pedagang yang jualan di badan jalan bahayain pengendara minta tolong banget,keamanan,biasa,Satuan Polisi Pamong Praja
bu pasien kritis ditolak igd rs daerah katanya penuh padahal darurat,kesehatan,sangat_urgen,Dinas Kesehatan
tumpukan sampah di gang belakang makin tinggi ga ada yang angkut,kebersihan,urgen,Dinas Lingkungan Hidup
pengaduan: makasih ya udah benerin jalan di depan rumah kami kami banget terganggu,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pkl di trotoar bikin macet dan ganggu lalu lintas tolong cepet ditangani,keamanan,biasa,Satuan Polisi Pamong Praja
sungai butek item bau warga banyak yang kena penyakit kulit,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mantep deh pemda udah cepet nanggepin keluhan warga,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mau lapor nih maling motor udah masuk ke perumahan kami 3x dalam sebulan ini minta tolong banget,keamanan,urgen,Satuan Polisi Pamong Praja
mohon lingkungan rt kurang bersih perlu kerja bakti udah lama nih,kebersihan,biasa,Dinas Lingkungan Hidup
bu halo pak bupati semoga sehat selalu dan sukses kapan diselesaikan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
laporan: sktm buat daftar sekolah ga bisa didapat harus nyogok dulu udah lama nih,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
acara agustusan di kelurahan seru banget makasih pak rt,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pak maling motor udah masuk ke perumahan kami 3x dalam sebulan ini,keamanan,urgen,Satuan Polisi Pamong Praja
tolong maling motor udah masuk ke perumahan kami 3x dalam sebulan ini minta tolong banget,keamanan,urgen,Satuan Polisi Pamong Praja
laporan: halo pak bupati semoga sehat selalu dan sukses kami sangat terganggu,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
jalan amblas dalem banget motor aku sampe jatuh tadi malem,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ada pedagang yang jualan di badan jalan bahayain pengendara,keamanan,biasa,Satuan Polisi Pamong Praja
gorong gorong jebol jalan ambles dalam banget berbahaya,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pak info jadwal dokter di puskesmas ga pernah diupdate minta tolong banget,kesehatan,biasa,Dinas Kesehatan
mohon penculikan anak terjadi di dekat sekolah dasar tolong segera ditangani tolong cepet ditangani,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
bu limbah pabrik dibuang ke kali sumber air minum warga udah pada mual kami banget terganggu,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
laporan: jembatan gantung mau putus nih kabelnya udah pada karatan tolong cepet ditangani,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
bu gorong gorong jebol jalan ambles dalam banget berbahaya minta tolong banget,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
penertiban pkl ga konsisten balik lagi besoknya udah lama nih,keamanan,biasa,Satuan Polisi Pamong Praja
laporan: premanisme di pasar makin merajalela pedagang resah segera ya pak,keamanan,urgen,Satuan Polisi Pamong Praja
pemkot salatiga keren programnya pro rakyat,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: pak walikota salatiga keren banget programnya bagus mohon ditindak,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
halo pemda keracunan massal di kantin sekolah puluhan anak muntah muntah dibawa ke rs,kesehatan,sangat_urgen,Dinas Kesehatan
pak ada pungutan liar di terminal oleh oknum preman mohon ditindak,keamanan,urgen,Satuan Polisi Pamong Praja
pak taman kota kotor banyak sampah dedaunan,kebersihan,biasa,Dinas Lingkungan Hidup
jalan masuk komplek rusak parah susah dilalui motor,infrastruktur,urgen,Dinas Pekerjaan Umum
bank sampah di kelurahan kami ga jalan,kebersihan,biasa,Dinas Lingkungan Hidup
laporan: formulir pendaftaran di kelurahan susah didapat udah lama nih,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
ada yang buang bangkai hewan di lahan kosong bau busuk minta ampun,kebersihan,urgen,Dinas Lingkungan Hidup
halo pemda got meluap banjir masuk rumah warga udah setinggi lutut tolong cepet ditangani,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
laporan: informasi syarat urus ktp di website ga update,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
tempat sampah di taman rusak perlu diganti mohon ditindak,kebersihan,biasa,Dinas Lingkungan Hidup
lampu jalan di gang kami mati udah 2 minggu gelap bgt malem,infrastruktur,urgen,Dinas Pekerjaan Umum
laporan: dokter puskesmas sering bolos pasien numpuk ga ada yang meriksa,kesehatan,urgen,Dinas Kesehatan
tolong ada yang buang bangkai hewan di lahan kosong bau busuk minta ampun kapan diselesaikan,kebersihan,urgen,Dinas Lingkungan Hidup
pak jembatan retak parah goyang kalo dilewati truk minta tolong banget,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
mohon cat jembatan udah kusam perlu dicat ulang tolong cepet ditangani,infrastruktur,biasa,Dinas Pekerjaan Umum
mau lapor nih tps liar di pinggir jalan numpuk ga pernah diangkut nyamuk banyak,kebersihan,urgen,Dinas Lingkungan Hidup
mohon fogging dbd ga pernah dilakukan padahal kasus terus naik kami sangat terganggu,kesehatan,urgen,Dinas Kesehatan
fogging dbd ga pernah dilakukan padahal kasus terus naik,kesehatan,urgen,Dinas Kesehatan
laporan: penertiban pkl ga konsisten balik lagi besoknya,keamanan,biasa,Satuan Polisi Pamong Praja
halo pemda trotoar di jalan ahmad yani retak retak harap segera ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
tolong sktm buat daftar sekolah ga bisa didapat harus nyogok dulu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
laporan: sungai butek item bau warga banyak yang kena penyakit kulit minta tolong banget,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
laporan: ada penembakan di daerah kami warga panik ga berani keluar rumah harap segera ada tindakan,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
laporan: peredaran narkoba terang terangan di dekat sekolah anak anak kita terancam udah lama nih,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
halo pak bupati semoga sehat selalu dan sukses,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mohon salut sama kerja keras pak lurah kami,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
peredaran narkoba terang terangan di dekat sekolah anak anak kita terancam,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
bu bangunan liar di lahan fasilitas umum ga ada penertiban udah lama nih,keamanan,biasa,Satuan Polisi Pamong Praja
mohon begal bunuh pengendara motor tadi malem di jalan gelap deket desa kami segera ya pak,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pengaduan: peredaran narkoba terang terangan di dekat sekolah anak anak kita terancam kami sangat terganggu,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pak lampu merah di perempatan rusak rawan kecelakaan udah lama nih,infrastruktur,urgen,Dinas Pekerjaan Umum
mau lapor nih mantep deh pemda udah cepet nanggepin keluhan warga minta tolong banget,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tolong bahu jalan agak rusak butuh perbaikan minta tolong banget,infrastruktur,biasa,Dinas Pekerjaan Umum
laporan: loket pendaftaran puskesmas prosesnya lama banget,kesehatan,biasa,Dinas Kesehatan
pengaduan: sertifikat tanah saya ga kunjung kelar udah setaun nunggu minta tolong banget,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mohon saluran air kecil di gang agak tersumbat daun kapan diselesaikan,infrastruktur,biasa,Dinas Pekerjaan Umum
mohon sampah plastik banyak berserakan di pinggir kali,kebersihan,biasa,Dinas Lingkungan Hidup
sungai butek item bau warga banyak yang kena penyakit kulit tolong cepet ditangani,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
sertifikat tanah saya ga kunjung kelar udah setaun nunggu kapan diselesaikan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
obat obatan di puskesmas sering kosong pasien disuruh beli sendiri,kesehatan,urgen,Dinas Kesehatan
mau lapor nih pelayanan bpjs dipersulit padahal kartu aktif dan iuran rutin bayar udah lama nih,kesehatan,urgen,Dinas Kesehatan
bu ada pengedar narkoba di lingkungan kami udah lapor tapi belum ada tindakan segera ya pak,keamanan,urgen,Satuan Polisi Pamong Praja
tolong bpjs saya dinonaktifkan padahal iuran selalu bayar tepat waktu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
bu paving block di trotoar ada beberapa yang copot harap segera ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
pengaduan: motor parkir sembarangan di badan jalan ganggu arus lalu lintas harap segera ada tindakan,keamanan,biasa,Satuan Polisi Pamong Praja
mau lapor nih kk kami salah data nama anak ketuker udah lapor berkali kali ga diperbaiki kami sangat terganggu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ada yang buang bangkai hewan di lahan kosong bau busuk minta ampun segera ya pak,kebersihan,urgen,Dinas Lingkungan Hidup
ada ancaman bom di pasar warga pada lari kapan diselesaikan,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pengaduan: ruangan pelayanan dukcapil kurang nyaman ga ada ac kami sangat terganggu,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
bu penerangan jalan umum di jalan protokol banyak yang mati harap segera ada tindakan,infrastruktur,urgen,Dinas Pekerjaan Umum
tolong ruang tunggu puskesmas sempit dan panas ga ada kipas angin kapan diselesaikan,kesehatan,biasa,Dinas Kesehatan
pengaduan: pelayanan puskesmas kurang ramah perawatnya galak kami sangat terganggu,kesehatan,biasa,Dinas Kesehatan
penerangan jalan minim banget malem gelap gulita rawan kejahatan,keamanan,urgen,Satuan Polisi Pamong Praja
pengaduan: akta kelahiran anak susah banget diurusnya syaratnya berbelit belit minta tolong banget,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mohon bangunan liar di lahan fasilitas umum ga ada penertiban segera ya pak,keamanan,biasa,Satuan Polisi Pamong Praja
mau lapor nih cat marka jalan udah pudar ga keliatan harap segera ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
lampu jalan di gang kami mati udah 2 minggu gelap bgt malem harap segera ada tindakan,infrastruktur,urgen,Dinas Pekerjaan Umum
pengaduan: paving block di trotoar ada beberapa yang copot udah lama nih,infrastruktur,biasa,Dinas Pekerjaan Umum
laporan: ibu hamil di desa kami susah akses bidan jaraknya jauh banget,kesehatan,urgen,Dinas Kesehatan
parkir liar di depan toko halangi pejalan kaki,keamanan,biasa,Satuan Polisi Pamong Praja
tolong air pdam berasa aneh bau ga layak minum,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mau lapor nih sertifikat tanah saya ga kunjung kelar udah setaun nunggu mohon ditindak,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
bansos ga tepat sasaran tetangga saya mampu dapat saya yang susah malah ga dapat,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mohon pelayanan di kecamatan lama banget bisa nunggu sampe sore,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
halo pemda jalan amblas dalem banget motor aku sampe jatuh tadi malem tolong cepet ditangani,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
jembatan retak parah goyang kalo dilewati truk tolong cepet ditangani,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
bu pak walikota salatiga keren banget programnya bagus harap segera ada tindakan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tolong jalan di komplek ada yang berlubang kecil harap segera ada tindakan,infrastruktur,biasa,Dinas Pekerjaan Umum
laporan: pasar tradisional sampahnya numpuk bau amis kemana mana udah lama nih,kebersihan,urgen,Dinas Lingkungan Hidup
bu lingkungan rt kurang bersih perlu kerja bakti,kebersihan,biasa,Dinas Lingkungan Hidup
tolong pengajuan beasiswa ga diproses padahal syarat lengkap dan nilai bagus tolong cepet ditangani,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pak akta kelahiran anak susah banget diurusnya syaratnya berbelit belit,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mau lapor nih obat obatan di puskesmas sering kosong pasien disuruh beli sendiri,kesehatan,urgen,Dinas Kesehatan
jalan berlubang gede di depan sekolah udah ada yang jatuh harap segera ada tindakan,infrastruktur,urgen,Dinas Pekerjaan Umum
ada kelompok yang sering bikin keributan di malam hari ganggu warga tolong cepet ditangani,keamanan,urgen,Satuan Polisi Pamong Praja
tolong aspal di depan rumah saya mengelupas mohon ditindak,infrastruktur,biasa,Dinas Pekerjaan Umum
mohon bpjs saya dinonaktifkan padahal iuran selalu bayar tepat waktu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pak urus izin usaha kecil dipersulit minta biaya yang ga jelas udah lama nih,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pak jambret hp terjadi siang hari di jalan ramai pelaku kabur,keamanan,urgen,Satuan Polisi Pamong Praja
laporan: penculikan anak terjadi di dekat sekolah dasar tolong segera ditangani segera ya pak,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
laporan: tempat sampah di halte bus udah penuh perlu dikosongkan kapan diselesaikan,kebersihan,biasa,Dinas Lingkungan Hidup
pak klinik desa ga ada dokter tetap cuma ada perawat kami sangat terganggu,kesehatan,urgen,Dinas Kesehatan
paving block di trotoar ada beberapa yang copot,infrastruktur,biasa,Dinas Pekerjaan Umum
bu ada pembunuhan di kampung kami semalam pelaku masih berkeliaran warga takut tolong cepet ditangani,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
tolong jambret hp terjadi siang hari di jalan ramai pelaku kabur,keamanan,urgen,Satuan Polisi Pamong Praja
salut sama kerja keras pak lurah kami minta tolong banget,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mau lapor nih lampu taman di alun alun beberapa yang mati segera ya pak,infrastruktur,biasa,Dinas Pekerjaan Umum
laporan: lampu taman di alun alun beberapa yang mati udah lama nih,infrastruktur,biasa,Dinas Pekerjaan Umum
sktm buat daftar sekolah ga bisa didapat harus nyogok dulu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
konflik warga udah berlangsung lama belum ada penyelesaian dari aparat,keamanan,urgen,Satuan Polisi Pamong Praja
tolong pengajuan beasiswa ga diproses padahal syarat lengkap dan nilai bagus minta tolong banget,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ada kasus tbc menyebar di lingkungan padat penduduk butuh penanganan cepat harap segera ada tindakan,kesehatan,sangat_urgen,Dinas Kesehatan
selamat pagi pemda semoga makin maju kotanya minta tolong banget,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
ada kasus meningitis di kampung kami 3 orang udah masuk icu,kesehatan,sangat_urgen,Dinas Kesehatan
limbah kimia ngalir ke sawah tanaman warga pada mati harap segera ada tindakan,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
pak halte bus atapnya bocor ujan masuk,infrastruktur,biasa,Dinas Pekerjaan Umum
ada penembakan di daerah kami warga panik ga berani keluar rumah,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mau lapor nih papan nama jalan udah pudar susah dibaca,infrastruktur,biasa,Dinas Pekerjaan Umum
pkl di trotoar bikin macet dan ganggu lalu lintas,keamanan,biasa,Satuan Polisi Pamong Praja
halo pemda ada pembuangan limbah ilegal di dekat sekolah baunya menyengat,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
halo pemda got depan rumah agak kotor perlu dikuras,kebersihan,biasa,Dinas Lingkungan Hidup
tolong ada beberapa warga yang buang sampah sembarangan di pinggir jalan,kebersihan,biasa,Dinas Lingkungan Hidup
laporan: halte bus atapnya bocor ujan masuk,infrastruktur,biasa,Dinas Pekerjaan Umum
laporan: sampah medis bekas jarum suntik berserakan di taman bermain anak minta tolong banget,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
laporan: info jadwal dokter di puskesmas ga pernah diupdate segera ya pak,kesehatan,biasa,Dinas Kesehatan
